start_id,relationship,end_id
dda32a6c44a999d45b3b6563bed01f50,TRIP_HAS_CITY,755be1eb3c540a55296b6d312a1714e8
e1f53c0817bc10eb9eb8660fed48729d,ALIAS_OF,755be1eb3c540a55296b6d312a1714e8
dda32a6c44a999d45b3b6563bed01f50,TRIP_HAS_CITY,122968d8c1100e74b95f69a632a3fede
dda32a6c44a999d45b3b6563bed01f50,TRIP_HAS_CITY,02bed6def9bd9c882e18f175273798ea
5c95abc5e67955ec38acb9328b26fe7a,ALIAS_OF,02bed6def9bd9c882e18f175273798ea
dda32a6c44a999d45b3b6563bed01f50,TRIP_HAS_CITY,a25eab7cc961617b34e10bab1f36b40e
4cadc4e6299c3187f9433e49254acd3f,ALIAS_OF,a25eab7cc961617b34e10bab1f36b40e
b22a8f7758f02e27f613faa50fb35813,ALIAS_OF,a25eab7cc961617b34e10bab1f36b40e
2835e463504fa110e8ae04efbdcdeaeb,ALIAS_OF,a25eab7cc961617b34e10bab1f36b40e
dda32a6c44a999d45b3b6563bed01f50,TRIP_HAS_CITY,81dcee82545abd9e12e23766e04911eb
dda32a6c44a999d45b3b6563bed01f50,TRIP_HAS_CITY,e8a786c2d4b3c58c8c4444f67b098f1f
3d202e7e59ed529c34984fc4862e6238,ALIAS_OF,e8a786c2d4b3c58c8c4444f67b098f1f
80238f0c729a2bde058cfe86be7a869c,ALIAS_OF,e8a786c2d4b3c58c8c4444f67b098f1f
9c860d3469862885cd21d97dcf76dae7,ALIAS_OF,e8a786c2d4b3c58c8c4444f67b098f1f
dda32a6c44a999d45b3b6563bed01f50,TRIP_HAS_COUNTRY,0761ef00bc41017f222c873891124679
8a33cf4efc87738b43b859f6a3c98c44,ALIAS_OF,0761ef00bc41017f222c873891124679
62affa5b77508398fbc6675826c4b8f0,ALIAS_OF,0761ef00bc41017f222c873891124679
f08af4a39673f6d158145710c6c8e3db,ALIAS_OF,0761ef00bc41017f222c873891124679
dda32a6c44a999d45b3b6563bed01f50,TRIP_HAS_COUNTRY,2604b2aa123256e3e3e4aa2c26888e72
17277eda4e06cf6daaf78e12a30d98b3,ALIAS_OF,2604b2aa123256e3e3e4aa2c26888e72
51f6830ffd5535a56a9722fd448afe3d,ALIAS_OF,2604b2aa123256e3e3e4aa2c26888e72
dda32a6c44a999d45b3b6563bed01f50,TRIP_HAS_COUNTRY,97093c316255fadc440541ed74ed091d
