id,label,name,extra
dda32a6c44a999d45b3b6563bed01f50,Trip,BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,"{""date_start"": ""2025-01-04"", ""date_end"": ""2025-01-22"", ""season"": ""Kış"", ""price_usd"": 3800}"
755be1eb3c540a55296b6d312a1714e8,City,Rio de Janeiro,{}
e1f53c0817bc10eb9eb8660fed48729d,Alias,Rio de Janeiro,{}
122968d8c1100e74b95f69a632a3fede,City,Iguazu,{}
02bed6def9bd9c882e18f175273798ea,City,Buenos Aires,{}
5c95abc5e67955ec38acb9328b26fe7a,Alias,Buenos Aires,{}
a25eab7cc961617b34e10bab1f36b40e,City,Cape Horn,{}
4cadc4e6299c3187f9433e49254acd3f,Alias,Cap Horn,{}
b22a8f7758f02e27f613faa50fb35813,Alias,Capo Horn,{}
2835e463504fa110e8ae04efbdcdeaeb,Alias,Horn Burnu,{}
81dcee82545abd9e12e23766e04911eb,City,Magdalena Adası,{}
e8a786c2d4b3c58c8c4444f67b098f1f,City,Santiago,{}
3d202e7e59ed529c34984fc4862e6238,Alias,Santiago,{}
80238f0c729a2bde058cfe86be7a869c,Alias,Santiago del Cile,{}
9c860d3469862885cd21d97dcf76dae7,Alias,"Santiago, Şili",{}
0761ef00bc41017f222c873891124679,Country,Brezilya,{}
8a33cf4efc87738b43b859f6a3c98c44,Alias,Brasile,{}
62affa5b77508398fbc6675826c4b8f0,Alias,Brazil,{}
f08af4a39673f6d158145710c6c8e3db,Alias,Brésil,{}
2604b2aa123256e3e3e4aa2c26888e72,Country,Arjantin,{}
17277eda4e06cf6daaf78e12a30d98b3,Alias,Argentina,{}
51f6830ffd5535a56a9722fd448afe3d,Alias,Argentine,{}
97093c316255fadc440541ed74ed091d,Country,Şili,{}
bea20d72a0e075034ed6a7bb1d9761eb,Alias,Chile,{}
431755a7f5295a4fa4707bac09965681,Alias,Chili,{}
ffc5bf9551864a0b91c5d0de1b6ac0ff,Alias,Cile,{}
1dd06a04e281192620397b2e826825a1,Activity,Vista Chinesa,{}
6407959091e80dfc9b71b11a42aee367,Activity,Amanhã (Yarının Müzesi),{}
3f2f0404de19b25fbefe69cf89a76c5d,Activity,Iguazú Şelaleleri,{}
110c44aeb1fb6ffcd0e6b4b6dcff174d,Activity,Iguazú Milli Parkı,{}
230b0dbf7acf9cf02b21109dcca9ed3b,Activity,Macuco Safarisi,{}
510140403c26f9d871b21bbfd3ccf72e,Activity,Plaza de Mayo,{}
2ece0986ffacada958045d008a15362b,Activity,Casa Rosada,{}
3ab6ea1c4c53ce83837201557c604e5d,Activity,San Telmo,{}
2c24c2dbec9a043ece3fa7ad69240be4,Activity,La Boca,{}
09ddef7151362ca69b03857f820994ef,Activity,Buenos Aires Modern Sanat Müzesi,{}
0dce86ff23ca07ee0acf76423085809a,Activity,Plaza Dorrego,{}
b39f60120f07927af979bd9120422036,Activity,Palermo Soho,{}
98e3c1255ab5bca54dafa87beb401df6,Activity,Recoleta Semti,{}
461e4078f6d7e34097a0cb45462125fa,Activity,Recoleta Mezarlığı,{}
db356e07828c499d92585b8429c44b6d,Activity,Rojo Tango Gösterisi,{}
ad0110c788ffb43d270539dde0cdcc73,Activity,Cape Horn,{}
ef700ee01e575899313f220f1746bfb3,Activity,Magdalena Adası,{}
f4ac61d143c0b52ccf78e235de941f3b,Activity,Plaza de Armas,{}
2dc0ce609411d962922c213fafb8a0ae,Activity,Santiago Katedrali,{}
c8911711a29eef4ae84385192b3e86d5,Activity,Belediye Binası,{}
f0ebf5f10a18d1f2d041dafe2d170f51,Activity,Merkez Postane,{}
c8f5d24f90c7439e928568d44a0d10bb,Activity,Ulusal Tarih Müzesi,{}
18bb80f27c9485ca69d9078a000fdb07,Restaurant,Satyricon Restaurant,{}
f2095af329c167b5ebc5e2cd380fc6ed,Restaurant,La Cabrera Restaurant,{}
707dc985b5808a21264fc8983e1fd4df,Restaurant,Fervor Restaurant,{}
7d1ff33b73a63744c14e531f4051f3bf,Trip,İZLANDA TURU 18 – 24 MAYIS,"{""date_start"": ""2025-05-18"", ""date_end"": ""2025-05-24"", ""season"": ""İlkbahar"", ""price_usd"": 1400}"
aa997cdb20195a313c738ba2ff86f71c,City,İzlanda,{}
6e5e82c4632fc0075ee819f51d710e6c,Alias,Iceland,{}
f3ec128a5450ba72270894aad3791409,Alias,Islanda,{}
1f0a8fff38b8df291bd5db16f3f3a798,Alias,Islande,{}
8f1b66c2e1f08a28769b48d3b9222fa6,Country,İzlanda,{}
3baae3cd12c425bf61c9e133ed648b66,Hotel,Hali Country Hotel,{}
